title,doi,notes,...4,keywords,pubmed_id,pmc_id,PDF files,exclusion_reason
Occurrence of persistent organic pollutants (POPs) in the atmosphere of South Korea: A review,10.1016/j.envpol.2022.119586,"Export Date: 08 April 2024; Cited By: 6; Correspondence Address: S. Rezania; Department of Environment and Energy, Sejong University, Seoul, 05006, South Korea; email: shahab.rezania@sejong.ac.kr; CODEN: ENPOE | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-LABELS: may include ocp or pfa | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Atmosphere;Brominated flame retardants (BFRs);Polycyclic aromatic hydrocarbons (PAHs);POPs;South Korea;Environmental Monitoring;Environmental Pollutants;Halogenated Diphenyl Ethers;Humans;Persistent Organic Pollutants;Polychlorinated Biphenyls;Polycyclic Aromatic Hydrocarbons;Agricultural products;Flame retardants;Polychlorinated biphenyls;Polycyclic aromatic hydrocarbons;Water pollution;1,2 bis (2,4,6 tribromophenoxy)ethane;2 ethylhexyl 2,3,4,5 tetrabromobenzoate;benzo[a]pyrene;bis (2 ethylhexyl) 3,4,5,6 tetrabromophthalate;decabromodiphenylethane;flame retardant;hexabromocyclododecane;hexachlorocyclohexane;polybrominated dibenzodioxin;polybrominated diphenyl ether;polychlorinated biphenyl;polychlorinated dibenzodioxin;polychlorinated dibenzofuran;polycyclic aromatic hydrocarbon;tetrabromobisphenol A;unclassified drug;diphenyl ether derivative;Air soils;Air-water;Brominated flame retardant;Brominated flame retardants;Environmental compartment;Environmental health;Human health;Persistent organic pollutant;Polycyclic aromatic hydrocarbon;atmospheric pollution;PAH;persistent organic pollutant;pollutant transport;spatial distribution;air pollution;Article;atmosphere;autumn;bioaccumulation;chemical structure;combustion;concentration (parameter);e-waste;environmental exposure;environmental risk;halogenation;hydrophilicity;hydrophobicity;industrial waste;landfill;leaching;limit of detection;lipophilicity;liquid chromatography-mass spectrometry;liquid waste;mass fragmentography;measurement repeatability;microwave assisted extraction;municipal wastewater;particulate matter;physical chemistry;recycling;seasonal variation;sensitivity and specificity;sludge;solid phase microextraction;solvent extraction;Soxhlet extraction;spring;summer;ultrasound assisted extraction;ultraviolet radiation;vapor pressure;waste water treatment plant;weathering;winter;environmental monitoring;human;meta analysis;pollutant;Organic pollutants;Korea",NA,NA,NA,meta-analytic estimate with variance not reported
Impact of Pesticides on Cancer and Congenital Malformation: A Systematic Review,10.3390/toxics10110676,"Export Date: 08 April 2024; Cited By: 5; Correspondence Address: C.S. Oliveira; Instituto de Pesquisa Pelé Pequeno Príncipe, Curitiba, Rua Silva Jardim, 1632, PR, 80250-060, Brazil; email: claudia.bioquimica@yahoo.com.br | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"birth defect;cancer;congenital malformations;environmental contaminants;neoplasm;pesticides;1,1 dichloro 2,2 bis(4 chlorophenyl)ethylene;1,2 dichloroethylene;benzene;beta hexachlorocyclohexane;dieldrin;endosulfan;hexachlorobenzene;lindane;mancozeb;pesticide;polychlorinated biphenyl;tetrachloroethylene;trichloroethylene;vinyl chloride;adolescent;adult;agricultural worker;child;congenital malformation;environmental exposure;female;food contamination;human;infant;male;malignant neoplasm;middle aged;newborn;occupational exposure;Review;systematic review;water contamination;Pesticides",NA,NA,NA,meta-analytic estimate with variance not reported
Pesticide residues levels in raw cow's milk and health risk assessment across the globe: A systematic review,10.1016/j.envadv.2022.100266,"Export Date: 08 April 2024; Cited By: 10; Correspondence Address: S. Boudalia; Département d’Écologie et Génie de l'Environnement, Guelma, Université 8 Mai 1945 Guelma BP 4010, 24000, Algeria; email: boudalia.sofiane@univ-guelma.dz | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Acceptable daily intakes;Contamination level;Health risk assessment;Pesticide residues;Raw cow's milk;Risk Assessment;Pesticides;Pesticide Residues,NA,NA,NA,meta-analytic estimate with variance not reported
Treatment Options for Pseudoaneurysm After Carotid Endarterectomy: A Systematic Review and Illustrative Case,10.1016/j.wneu.2022.08.124,"Export Date: 08 April 2024; Cited By: 1; Correspondence Address: C. Heskett; The University of Kansas School of Medicine, Kansas City, United States; email: cheskett@kumc.edu | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Carotid endarterectomy;Neurosurgery;Pseudoaneurysm;Treatment;Aged;Aneurysm, False;Blood Vessel Prosthesis Implantation;Carotid Stenosis;Endarterectomy, Carotid;Female;Humans;Male;Retrospective Studies;Treatment Outcome;acetylsalicylic acid;clopidogrel;heparin;polyvinyl alcohol sponge;rivaroxaban;thrombin;warfarin;adult;aged;aneurysm rupture;aneurysm surgery;artery graft;carotid endarterectomy;case report;clinical article;clinical outcome;diagnosis time;digital subtraction angiography;endovascular surgery;false aneurysm;female;femoral artery;heart infarction;hospital discharge;human;infected aneurysm;ligation;male;medical decision making;Medline;middle aged;neurosurgery;open surgery;postoperative complication;Preferred Reporting Items for Systematic Reviews and Meta-Analyses;restenosis;Review;right common carotid artery;Scopus;Staphylococcus;systematic review;transient ischemic attack;very elderly;Web of Science;adverse event;blood vessel transplantation;carotid artery occlusion;diagnostic imaging;procedures;retrospective study;treatment outcome;Carotid Artery Injuries;Endarterectomy",NA,NA,NA,meta-analytic estimate with variance not reported
"The SH-SY5Y human neuroblastoma cell line, a relevant in vitro cell model for investigating neurotoxicology in human: Focus on organic pollutants",10.1016/j.neuro.2022.07.008,"Export Date: 08 April 2024; Cited By: 55; Correspondence Address: X. Coumoul; Université Paris Cité, Paris, 45 rue des Saints Pères, F-75006, France; email: xavier.coumoul@u-paris.fr; CODEN: NRTXD | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Environmental pollutants;Neural cells;Neurotoxicity;Toxicology;Adult;Animals;Cell Line, Tumor;Cell Survival;Child;Environmental Pollutants;Flame Retardants;Fluorocarbons;Humans;Neuroblastoma;Neurotoxicity Syndromes;Parabens;Pesticides;Polychlorinated Dibenzodioxins;2,3,7,8 tetrachlorodibenzo para dioxin;4 hydroxybenzoic acid ester;4,4' isopropylidenediphenol;brain derived neurotrophic factor;esterase;flame retardant;neonicotinoid;organochlorine pesticide;organophosphate pesticide;pesticide;phthalic acid;polybrominated diphenyl ether;polychlorinated biphenyl;polycyclic aromatic hydrocarbon derivative;pyrethroid;retinoic acid;fluorocarbon;polychlorinated dibenzodioxin;cell culture;cell function;cytotoxicity;enzyme activity;high throughput screening;human;immunocytochemistry;in vitro study;methodology;nerve cell characteristics and functions;neurotoxicology;nonhuman;pollutant;Review;SH-SY5Y cell line;systematic review;adult;animal;cell survival;child;metabolism;neuroblastoma;toxicity;toxicity and intoxication;tumor cell line;Humanities;Humanism",NA,NA,NA,meta-analytic estimate with variance not reported
A tool for screening potentially inappropriate prescribing in Chinese children,10.3389/fphar.2022.1019795,"Export Date: 08 April 2024; Cited By: 2; Correspondence Address: L. Huang; Department of Pharmacy, West China Second University Hospital, Sichuan University, Chengdu, China; email: hliang_1022@163.com; L. Zhang; Department of Pharmacy, West China Second University Hospital, Sichuan University, Chengdu, China; email: zhanglingli@scu.edu.cn | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,children;inappropriate prescribing;inappropriate prescription;potentially inappropriate medication;prescribing omission;screening tool;aminoglycoside antibiotic agent;aminophylline;anticonvulsive agent;antihistaminic agent;asarone;asparaginase;atazanavir;azithromycin;beclometasone;benzocaine;camphor;carbocisteine;cefathiamidine;cefradine;ceftriaxone;chloramphenicol;chlorhexidine;chuanhuning;cyclosporine;darunavir;dexamethasone;diazepam;diphenoxylate;domperidone;dopamine receptor blocking agent;erythromycin;fluticasone propionate;Houttuynia cordata extract;indinavir;indometacin;isotretinoin;lamotrigine;lidocaine;lincomycin;lindane;metoclopramide;midazolam;naloxone;naphazoline;neuroleptic agent;opiate;penicillin derivative;phenytoin;polystyrenesulfonic acid;propofol;qingkailing;quinoline derived antiinfective agent;quinolone;reduning;retinoic acid;serotonin noradrenalin reuptake inhibitor;serotonin uptake inhibitor;sodium dihydrogen phosphate;sulfonamide;tetracycline;thalidomide;thioctic acid;tricyclic antidepressant agent;Tripterygium wilfordii extract;unclassified drug;valproic acid;vancomycin;verapamil;voriconazole;xiyanping;yanhuning;zoledronic acid;Article;child;Chinese;Delphi study;drug information;experience;health care quality;health promotion;human;knowledge;Likert scale;medication error;pediatrics;risk reduction;systematic review;Only Child;Child,NA,NA,NA,meta-analytic estimate with variance not reported
How to investigate human health effects related to exposure to mixtures of per- and polyfluoroalkyl substances: A systematic review of statistical methods,10.1016/j.envres.2021.112565,"Export Date: 08 April 2024; Cited By: 13; Correspondence Address: C. Canova; Unit of Biostatistics, Epidemiology and Public Health, Department of Cardio-Thoraco-Vascular Sciences and Public Health, University of Padua, Padova, Italy; email: cristina.canova@unipd.it; CODEN: ENVRA | RAYYAN-INCLUSION: {""Lorenzo""=>""Maybe"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Chemical mixtures;Environmental exposure;Human health;Joint effect;per- and polyfluoroalkyl substances (PFAS);Alkanesulfonic Acids;Bayes Theorem;Child;Environmental Pollutants;Europe;Fluorocarbons;Humans;Thyroid Hormones;North America;alkyl group;environmental chemical;perfluoroalkanoic acid;sex hormone;thyroid hormone;alkanesulfonic acid;fluorocarbon;chemical substance;health impact;literature review;pollution exposure;public health;statistical analysis;adolescent;adult;aged;Bayes theorem;child;clinical evaluation;clinical feature;clinical outcome;controlled study;environmental exposure;female;fetus development;health hazard;homeostasis;hormone metabolism;human;immunotoxicity;k means clustering;least square analysis;male;nerve cell differentiation;nervous system development;outcome assessment;population exposure;Review;risk assessment;structural equation modeling;systematic review;thyroid gland;pollutant;toxicity;Humanities;Humanism,NA,NA,NA,meta-analytic estimate with variance not reported
Systematic Evidence Map for Over One Hundred and Fifty Per-and Polyfluoroalkyl Substances (PFAS),10.1289/EHP10343,"Export Date: 08 April 2024; Cited By: 31; Correspondence Address: L.M. Carlson; U.S. EPA, Durham, 109 TW Alexander Dr., 27710, United States; email: carlson.laura@epa.gov | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-LABELS: systematic evidence map | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Animals;Databases, Factual;Epidemiologic Studies;Fluorocarbons;Humans;Mammals;Reproduction;United States;United States Environmental Protection Agency;fluorocarbon;animal experiment;animal model;bioassay;data extraction;endocrine system;environmental protection;excretion;grey literature;human;immune system;in vitro study;liver;machine learning;mammal;metabolism;metadata;nonhuman;outcome assessment;population exposure;review;software;toxicology;animal;epidemiology;factual database;government;reproduction",NA,NA,NA,meta-analytic estimate with variance not reported
Assessment of endocrine disruptive properties of PFOS: EFSA/ECHA guidance case study utilising AOP networks and alternative methods,10.2903/j.efsa.2022.e200418,"Export Date: 08 April 2024; Cited By: 2; Correspondence Address: M. Pípal; Institute of Environmental Medicine, Karolinska Institutet, Sweden; email: eu-fora@efsa.europa.eu | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,AOP;endocrine disrupter;NAM;next generation risk assessment;PFOS,NA,NA,NA,meta-analytic estimate with variance not reported
Quantitative relationship between earthworms’ sensitivity to organic pollutants and the contaminants’ degradation in soil: A meta-analysis,10.1016/j.jhazmat.2022.128286,"Export Date: 08 April 2024; Cited By: 18; Correspondence Address: M. Sun; Soil Ecology Lab, College of Resources and Environmental Science, Nanjing Agricultural University, Nanjing, 210095, China; email: sunmingming@njau.edu.cn; CODEN: JHMAD | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no study level identifiers",NA,"Bioremediation;Earthworms;Meta-analysis;Organic pollutant;Toxicology;Animals;Biodegradation, Environmental;Environmental Pollutants;Oligochaeta;Soil;Soil Pollutants;Biotechnology;Degradation;Soil conservation;Soil pollution;Soils;Textures;1 chloro 4 nitrobenzene;chlordane;fipronil;nitrogen;polychlorinated biphenyl;soil organic matter;tetracycline;Contaminant degradation;Degradation rate;Earthworm;Eco-toxicology;Effect size;Journal articles;Organic pollutant degradation;Pollutant degradation;bioremediation;earthworm;meta-analysis;organic pollutant;quantitative analysis;sensitivity analysis;soil degradation;soil pollution;Article;controlled study;degradation;Eisenia andrei;Eisenia fetida;environmental factor;LC50;nonhuman;organic pollution;soil acidity;soil pollutant;soil remediation;soil texture;structural equation modeling;waste component removal;animal;chemistry;meta analysis;metabolism;pollutant;soil;Organic pollutants",NA,NA,NA,meta-analytic estimate with variance not reported
Sonolysis of per- and poly fluoroalkyl substances (PFAS): A meta-analysis,10.1016/j.ultsonch.2022.105944,"Export Date: 08 April 2024; Cited By: 22; Correspondence Address: M.J. Bussemaker; Department of Chemical and Process Engineering, University of Surrey, Guildford, Surrey, GU2 7XH, United Kingdom; email: m.bussemaker@surrey.ac.uk; CODEN: ULSOE | RAYYAN-INCLUSION: {""Lorenzo""=>""Maybe"", ""Kyle ""=>""Included""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis,no study level identifiers",NA,"Literature review;Meta-analysis;Parametric;PFAS;Sonolysis;Ultrasonic degradation;Adsorption;Carboxylic Acids;Fluorocarbons;Humans;Water;Water Pollutants, Chemical;Carboxylation;Diseases;Mineralogy;Reaction intermediates;Reaction kinetics;carbon dioxide;carbon monoxide;carboxylic acid;chemical compound;fluoride;fluorine;hydrogen;perfluoroalkyl substance;perfluoroether carboxylate;perfluorooctanesulfonic acid;perfluorooctanoic acid;polyfluoroalkyl substance;radical;sulfate;unclassified drug;fluorocarbon;water;Intermediate product;Literature reviews;Mineralisation;Poly fluoroalkyl substance;Power;Rate-limiting steps;adsorption;biodegradation;biotransformation;carbon balance;chemical structure;comparative study;concentration (parameter);contamination;defluorination;degradation;dilution;fire fighter;fluorination;foam;frequency;gas;gas chromatography;high performance liquid chromatography;hydrophobicity;kinetics;landfill leachate;mass spectrometry;methodology;mineralization;oxidation;pH;reaction analysis;Review;sonolysis;stoichiometry;temperature;ultrasound;wastewater;human;meta analysis;water pollutant;Degradation;RNA, Messenger;Polyglactin 910;Poly(ADP-ribose) Polymerases;Poly(A)-Binding Protein II;Poly(A)-Binding Proteins;Poly I-C;Poly A-U",NA,NA,NA,meta-analytic estimate with variance not reported
Human exposure pathways to poly- and perfluoroalkyl substances (PFAS) from indoor media: A systematic review,10.1016/j.envint.2022.107149,"Export Date: 08 April 2024; Cited By: 28; Correspondence Address: N.M. DeLuca; 109 T.W. Alexander Drive, Research Triangle Park, NC, 27709; email: deluca.nicole@epa.gov; CODEN: ENVID | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Alkanesulfonic Acids;Biological Monitoring;Culture Media;Drinking Water;Dust;Environmental Pollutants;Female;Fluorocarbons;Humans;Potable water;Risk perception;cosmetic;perfluorononanoic acid;perfluorooctanesulfonic acid;perfluorooctanoic acid;alkanesulfonic acid;drinking water;fluorocarbon;Exposure pathways;House dust;Human exposures;Indoor air;Indoor exposure;Perfluoroalkyl substances;Polyfluoroalkyl substances;Residential environment;Serum concentration;Systematic Review;biomonitoring;concentration (composition);dust;indoor air;organohalogen;pollution exposure;ambient air;Article;artificial intelligence;blood sampling;Caucasian;cleaning;concentration (parameter);consumer;environmental exposure;evidence based practice;house dust;household;human;indoor environment;inhalation;machine learning;population structure;risk factor;sex difference;social participation;social status;systematic review;biological monitoring;chemistry;culture medium;female;pollutant;Consumer products;Humanities;Humanism;RNA, Messenger;Polyglactin 910;Poly(A)-Binding Protein II;Poly(A)-Binding Proteins;Poly I-C;Poly A-U;Poly(ADP-ribose) Polymerases;Polymethyl Methacrylate",NA,NA,NA,meta-analytic estimate with variance not reported
A review on per- and polyfluorinated alkyl substances (PFASs) in microplastic and food-contact materials,10.1016/j.envres.2021.112595,"Export Date: 08 April 2024; Cited By: 29; Correspondence Address: B. Barhoumi; IAEA Environment Laboratories, 4a Quai Antoine 1er, Monaco, Principality of, 98000, Monaco; email: B.Barhoumi@iaea.org; I. Tolosa; IAEA Environment Laboratories, 4a Quai Antoine 1er, Monaco, Principality of, 98000, Monaco; email: I.Tolosa@iaea.org; CODEN: ENVRA | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"FCMs;Microplastics;Migration;PFAAs;Precursors;Sorption;Ecosystem;Fluorocarbons;Humans;Plastics;Water Pollutants, Chemical;acetic acid;alcohol derivative;carboxylic acid;fluorotelomer alcohol;inorganic compound;microplastic;nanoplastic;organofluorine derivative;organophosphate;perfluoro compound;phosphinic acid derivative;phosphonic acid derivative;polymer;sulfonic acid derivative;unclassified drug;fluorocarbon;plastic;biodegradation;chemical substance;desorption;health risk;mortality risk;risk;risk factor;adsorption;aquatic environment;butter;cereal;classification;dangerous goods;ecosystem restoration;ecotoxicology;environmental factor;fluorination;food;food packaging;health hazard;hydrophobicity;information retrieval;microplastic pollution;milk;nonhuman;pollution transport;Review;ScienceDirect;search engine;static electricity;Web of Science;ecosystem;human;water pollutant;Food",NA,NA,NA,meta-analytic estimate with variance not reported
Insights into the mechanisms of organic pollutant toxicity to earthworms: Advances and perspectives,10.1016/j.envpol.2022.119120,"Export Date: 08 April 2024; Cited By: 23; Correspondence Address: C. Wang; Beijing, Address: Yuanming Yuan West Road 2 #, China; email: wangchengju@cau.edu.cn; CODEN: ENPOE | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Adverse effects;Bibliometrics;Earthworm;Soil ecosystems;Toxic mechanisms;Animals;Environmental Pollutants;Microbiota;Oligochaeta;Soil;Soil Pollutants;Biochemistry;Cell death;Data handling;Detoxification;Ecosystems;Heavy metals;Metal nanoparticles;Organic pollutants;Soil pollution;Soils;Adverse effect;Bibliometric;Ecological roles;Soil fertility;Soil formations;Soil structure;Soil-structure;Toxic mechanism;earthworm;organic pollutant;pollution effect;soil ecosystem;toxicity;bibliometrics;concentration (parameter);data processing;detoxification;dysbiosis;enteritis;intestine injury;metabolic disorder;neurotoxicity;nonhuman;oxidative stress;pollutant;reproductive toxicity;Review;soil;animal;chemistry;metabolism;microflora;soil pollutant;Toxicity,NA,NA,NA,meta-analytic estimate with variance not reported
Global Exposure to Per- and Polyfluoroalkyl Substances and Associated Burden of Low Birthweight,10.1021/acs.est.1c08669,"Export Date: 08 April 2024; Cited By: 19; Correspondence Address: Z. Dong; School of Space and Environment, Beihang University, 100191, Beijing, China; email: chaomi_87@163.com; CODEN: ESTHA | RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,burden disease;global;low birthweight;meta-analysis;PFAS;Alkanesulfonic Acids;Birth Weight;Carbon;Endocrine Disruptors;Environmental Pollutants;Far East;Fluorocarbons;Humans;Asia;Endocrine disrupters;endocrine disruptor;perfluorinated carboxylic acid;perfluoroalkyl substance;perfluorodecanoic acid;perfluoroheptanoic acid;perfluorohexanesulfonic acid;perfluorononanoic acid;perfluorooctanesulfonic acid;perfluorooctanoic acid;perfluorosulfonic acid;perfluoroundecanoic acid;polyfluoroalkyl substance;unclassified drug;alkanesulfonic acid;carbon;fluorocarbon;Birthweight;Burden disease;Endocrine disrupting chemicals;Global;Health concerns;Large datasets;Low birthweight;Meta-analysis;Perfluorooctanoic acid;Polyfluoroalkyl substances;biomonitoring;data set;public health;antibody blood level;Article;biological monitoring;breast milk;controlled study;data availability;disease burden;dose response;environmental exposure;female;health hazard;human;low birth weight;male;meta analysis (topic);persistent organic pollutant;prevalence;spatiotemporal analysis;birth weight;pollutant;Large dataset,NA,NA,NA,meta-analytic estimate with variance not reported
Poly- and Perfluoroalkyl Substances in Municipal Wastewater Treatment Plants in the United States: Seasonal Patterns and Meta-Analysis of Long-Term Trends and Average Concentrations,10.1021/acsestwater.1c00377,"Export Date: 08 April 2024; Cited By: 41; Correspondence Address: K.A. Thompson; Water Quality Research and Development, Southern Nevada Water Authority, Henderson, 1299 Burkholder Boulevard, 89015, United States; email: kthompson@carollo.com; E.R.V. Dickenson; Water Quality Research and Development, Southern Nevada Water Authority, Henderson, 1299 Burkholder Boulevard, 89015, United States; email: eric.dickenson@snwa.com | RAYYAN-INCLUSION: {""Lorenzo""=>""Maybe"", ""Kyle ""=>""Included""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis,no study level identifiers",NA,"Poly(A)-Binding Protein II;RNA, Messenger;Poly A-U;Poly I-C;Poly(A)-Binding Proteins;Poly(ADP-ribose) Polymerases;Poly G;Poly T;Polylysine;Polyglactin 910",NA,NA,NA,meta-analytic estimate with variance not reported
Pesticide exposure and risk of cardiovascular disease: A systematic review,10.1080/17441692.2020.1808693,"Export Date: 08 April 2024; Cited By: 20; Correspondence Address: A.M. Zago; Federal University of Pelotas, Pelotas, Marechal Deodoro, n° 1160 – 3° piso, RS, 96020-220, Brazil; email: adrianamzago@gmail.com | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Cardiovascular disease;environmental contamination;farmworker;pesticides;systemic arterial hypertension;Cardiovascular Diseases;Cross-Sectional Studies;Environmental Exposure;Humans;Occupational Exposure;Pesticides;1,2 dibromoethane;2,3,7,8 tetrachlorodibenzo para dioxin;arsenic;cacodylic acid;carbofuran;chlorpyrifos;coumafos;deltamethrin;fenitrothion;heavy metal;malathion;mancozeb;metalaxyl;organochlorine derivative;pendimethalin;pesticide;trifluralin;ziram;acute heart infarction;adolescent;adult;aged;agricultural worker;Article;atherosclerosis;cardiovascular disease;cardiovascular risk;environmental exposure;female;human;hypertension;male;Medline;occupational exposure;pollution;public policy;risk assessment;ScienceDirect;systematic review;adverse event;cross-sectional study",NA,NA,NA,meta-analytic estimate with variance not reported
Systematic review of prenatal exposure to endocrine disrupting chemicals and autism spectrum disorder in offspring,10.1177/13623613211039950,"Export Date: 08 April 2024; Cited By: 3; Correspondence Address: M. Morales Suárez-Varela; Unit of Public Health and Environmental Care, Department of Preventive Medicine and Public Health, Food Sciences, Toxicology and Forensic Medicine, University of Valencia, Spain; email: maria.m.morales@uv.es; CODEN: AUTIF | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"autism spectrum disorder;developmental neurotoxicants;endocrine disrupting chemicals;prenatal exposure;Autism Spectrum Disorder;Endocrine Disruptors;Female;Humans;Pregnancy;Prenatal Exposure Delayed Effects;Risk Factors;Stereotyped Behavior;cadmium;carbamic acid;chlorphenotane;chlorpyrifos;chromium;endocrine disruptor;formaldehyde;lead;mercury;nickel;organochlorine derivative;organophosphate;polybrominated diphenyl ether;polychlorinated biphenyl;polychlorinated dibenzodioxin;polycyclic aromatic hydrocarbon;pyrethroid;thiomersal;accuracy;air monitoring;autism;bioaccumulation;data extraction;environmental health;gestational age;internal validity;medical record;nonhuman;pregnancy;public policy;questionnaire;Review;social status;systematic review;female;human;risk factor;stereotypy;Child Development Disorders, Pervasive;Autistic Disorder",NA,NA,NA,meta-analytic estimate with variance not reported
Pesticide research on environmental and human exposure and risks in sub-saharan africa: A systematic literature review,10.3390/ijerph19010259,"Export Date: 08 April 2024; Cited By: 21; Correspondence Address: S. Fuhrimann; Swiss Tropical and Public Health Institute (Swiss TPH), Basel, 4002, Switzerland; email: samuel.fuhrimann@unibas.ch | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Agriculture;Environmental risks;Exposure risks;Food production;Organochlorine;Organophosphate;Pesticides;Plant protection products;Public health;SDG 12;SDG 2;SSA;Child;Environmental Exposure;Female;Humans;Insecticides;Longitudinal Studies;South Africa;Sub-Saharan Africa;chlorphenotane;fungicide;herbicide;insecticide;organochlorine derivative;pesticide;biomarker;dose-response relationship;environmental risk;food production;health risk;literature review;organochlorine pesticide;public health;research work;Africa;Africa south of the Sahara;agriculture;environmental exposure;health hazard;human;nonhuman;Review;systematic review;child;female;longitudinal study;Humanities;Humanism;Africa South of the Sahara,NA,NA,NA,meta-analytic estimate with variance not reported
Endocrine disrupting chemicals and breast cancer: a systematic review of epidemiological studies,10.1080/10408398.2021.1903382,"Export Date: 08 April 2024; Cited By: 63; Correspondence Address: M.L.Y. Wan; Department of Microbiology, Immunology and Glycobiology, Institute of Laboratory Medicine, Lund University, Lund, Klinikgatan 28, S-222 42, Sweden; email: murphy.wan@med.lu.se; CODEN: CRFND | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Breast cancer;dietary;endocrine-disrupting chemicals;environmental;epidemiological studies;systematic review;Case-Control Studies;Endocrine Disruptors;Environmental Exposure;Environmental Pollutants;Epidemiologic Studies;Humans;Neoplasms;Pesticides;Diseases;Endocrine disrupters;Endocrinology;Flavonoids;Organic pollutants;Pelletizing;Polychlorinated biphenyls;Solvents;endocrine disruptor;pesticide;Dichlorodiphenyltrichloroethane;Endocrine disrupting chemicals;Endocrine disrupting compound;Epidemiological studies;Personal care products;Polybrominated diphenyl ether (PBDEs);Polychlorinated biphenyl (PCBs);Polyfluoroalkyl substances;adverse event;case control study;environmental exposure;epidemiology;human;neoplasm;pollutant;toxicity;Chemical contamination;Breast Neoplasms,NA,NA,NA,meta-analytic estimate with variance not reported
