ma_aut_year,ma_id,ma_e_id,source,chemical_class,chemical_s,chemical_id,health_outcome_type,ICD11_code,health_outcome_class,health_outcome_group,health_outcome_comment,biomarker,model,model_comment,variance_estimate_method,ma_es_measure,,number_effects,ma_point_estimate,ma_l_ci,ma_u_ci,heterogeneity
chen_2023,ma_037,ma_m_108,fig2D,OCP,one,"p,p'-DDT",acetylcholinesterase (AChE),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.085,-0.315,0.144,67
chen_2023,ma_037,ma_m_109,fig2E,OCP,one,alpha-HCH,paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.028,-0.061,0.006,0
chen_2023,ma_037,ma_m_110,fig2E,OCP,one,beta-HCH,paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.198,-0.53,0.134,90
chen_2023,ma_037,ma_m_111,fig2E,OCP,one,gamma-HCH,paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.134,-0.388,0.121,73
chen_2023,ma_037,ma_m_112,fig2E,OCP,one,"o,p'-DDE",paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.027,-0.079,0.025,0
chen_2023,ma_037,ma_m_113,fig2E,OCP,one,"p,p'-DDE",paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.133,-0.414,0.148,84
chen_2023,ma_037,ma_m_114,fig2E,OCP,one,"o,p'-DDT",paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.011,-0.048,0.025,0
chen_2023,ma_037,ma_m_115,fig2E,OCP,one,"p,p'-DDT",paraoxonase-1 (PON-1),,oxidative stress,Oxidative stress,NA,biomarker,random effects model,NA,not reported,? (regression coefficient) value,,3,-0.094,-0.321,0.0133,73
maradpour_2021,ma_038,ma_m_116,fig3,OCP,multiple,combined ocp,autismspectrum disorder (ASD),not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders",NA,clinical disease endpoint,fixed effects model,NA,not reported,OR (odds ratio),,14,1.32,1.14,1.53,0
maradpour_2021,ma_038,ma_m_117,table 3,OCP,multiple,combined ocp,autismspectrum disorder (ASD),not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders",NA,clinical disease endpoint,fixed effects model,NA,not reported,OR (odds ratio),,14,1.16,0.99,1.36,43.3
xu_2023,ma_039,ma_m_118,fig3,OCP,multiple,combined ocp,autismspectrum disorder (ASD),not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,3,1.17,0.86,1.61,24.6
xu_2023,ma_039,ma_m_119,fig4,OCP,multiple,combined ocp,attention deficit hyperactivity disorder (ADHD),not reported,Neurodevelopmental disorders,"Mental, behavioural or neurodevelopmental disorders",NA,clinical disease endpoint,fixed effects model,NA,not reported,OR (odds ratio),,4,1.22,1.03,1.45,0
lamat_2022,ma_040,ma_m_120,fig3,OCP,one,HCH,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,6,1.53,1.28,1.78,6.8
lamat_2022,ma_040,ma_m_121,fig3,OCP,one,HCB,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,5,1.4,1,1.8,68.4
lamat_2022,ma_040,ma_m_122,fig3,OCP,one,DDE,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,7,1.22,1.09,1.34,9
lamat_2022,ma_040,ma_m_123,fig3,OCP,one,DDT,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,5,1.28,1.05,1.5,5.8
lamat_2022,ma_040,ma_m_124,fig3,OCP,one,Oxychlordane,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,4,1.24,1.01,1.47,0
lamat_2022,ma_040,ma_m_125,fig3,OCP,one,trans-Nonachlor,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,5,1.35,1.19,1.52,0
lamat_2022,ma_040,ma_m_126,fig3,OCP,one,heptachlor epoxide,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,2,0.99,0.49,1.5,0
lamat_2022,ma_040,ma_m_127,fig3,OCP,one,Mirex,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,2,0.73,0.57,0.89,9.9
lamat_2022,ma_040,ma_m_128,fig3,OCP,one,Aldrin,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,1,1.23,0.99,1.48,NA
lamat_2022,ma_040,ma_m_129,fig3,OCP,multiple,combined ocp,metabolic syndrom,5D2Z,"Metabolic disorders, unspecified","Endocrine, nutritional or metabolic diseases",NA,clinical disease endpoint,random effects model,NA,not reported,OR (odds ratio),,4,1.28,1,1.56,9.5
